category,task_id,model,condition,file,reason,detail
algorithms_computation,AC-001,claude,BUG_FIX,algorithms_computation/code/claude/AC-001/BUG_FIX/final.py,NOT_PYTHON,"model prose / truncated file, not valid Python"
algorithms_computation,AC-001,claude,EDGE_CASE,algorithms_computation/code/claude/AC-001/EDGE_CASE/final.py,NOT_PYTHON,"model prose / truncated file, not valid Python"
algorithms_computation,AC-001,claude,FEATURE_ADDITION,algorithms_computation/code/claude/AC-001/FEATURE_ADDITION/final.py,NOT_PYTHON,"model prose / truncated file, not valid Python"
algorithms_computation,AC-001,claude,FULL_MULTI_TURN,algorithms_computation/code/claude/AC-001/FULL_MULTI_TURN/final.py,WRONG_OUTPUT,embedded self-tests fail (logic bug)
algorithms_computation,AC-001,claude,ONE_SHOT,algorithms_computation/code/claude/AC-001/ONE_SHOT/code.py,NOT_PYTHON,"model prose / truncated file, not valid Python"
algorithms_computation,AC-001,gpt,EDGE_CASE,algorithms_computation/code/gpt/AC-001/EDGE_CASE/final.py,NOT_PYTHON,"model prose / truncated file, not valid Python"
algorithms_computation,AC-001,gpt,FEATURE_ADDITION,algorithms_computation/code/gpt/AC-001/FEATURE_ADDITION/final.py,NOT_PYTHON,"model prose / truncated file, not valid Python"
algorithms_computation,AC-001,gpt,FULL_MULTI_TURN,algorithms_computation/code/gpt/AC-001/FULL_MULTI_TURN/final.py,NOT_PYTHON,"model prose / truncated file, not valid Python"
algorithms_computation,AC-002,claude,FULL_MULTI_TURN,algorithms_computation/code/claude/AC-002/FULL_MULTI_TURN/final.py,WRONG_OUTPUT,embedded self-tests fail (logic bug)
algorithms_computation,AC-003,deepseek,FEATURE_ADDITION,algorithms_computation/code/deepseek/AC-003/FEATURE_ADDITION/final.py,WRONG_OUTPUT,embedded self-tests fail (logic bug)
algorithms_computation,AC-003,gemini,FULL_MULTI_TURN,algorithms_computation/code/gemini/AC-003/FULL_MULTI_TURN/final.py,RUNTIME_BUG,NameError: name 'single_source_route_analyzer' is not defined
algorithms_computation,AC-004,claude,FEATURE_ADDITION,algorithms_computation/code/claude/AC-004/FEATURE_ADDITION/final.py,WRONG_OUTPUT,embedded self-tests fail (logic bug)
algorithms_computation,AC-004,deepseek,FULL_MULTI_TURN,algorithms_computation/code/deepseek/AC-004/FULL_MULTI_TURN/final.py,WRONG_OUTPUT,embedded self-tests fail (logic bug)
algorithms_computation,AC-004,gpt,EDGE_CASE,algorithms_computation/code/gpt/AC-004/EDGE_CASE/final.py,WRONG_OUTPUT,embedded self-tests fail (logic bug)
algorithms_computation,AC-004,gpt,FEATURE_ADDITION,algorithms_computation/code/gpt/AC-004/FEATURE_ADDITION/final.py,WRONG_OUTPUT,embedded self-tests fail (logic bug)
algorithms_computation,AC-004,gpt,FULL_MULTI_TURN,algorithms_computation/code/gpt/AC-004/FULL_MULTI_TURN/final.py,WRONG_OUTPUT,embedded self-tests fail (logic bug)
algorithms_computation,AC-005,gemini,FULL_MULTI_TURN,algorithms_computation/code/gemini/AC-005/FULL_MULTI_TURN/final.py,RUNTIME_BUG,NameError: name 'lexicographically_smallest_lis_indices' is not defined
algorithms_computation,AC-006,deepseek,FULL_MULTI_TURN,algorithms_computation/code/deepseek/AC-006/FULL_MULTI_TURN/final.py,WRONG_OUTPUT,embedded self-tests fail (logic bug)
algorithms_computation,AC-006,gpt,BUG_FIX,algorithms_computation/code/gpt/AC-006/BUG_FIX/final.py,WRONG_OUTPUT,embedded self-tests fail (logic bug)
algorithms_computation,AC-007,claude,EDGE_CASE,algorithms_computation/code/claude/AC-007/EDGE_CASE/final.py,WRONG_OUTPUT,embedded self-tests fail (logic bug)
algorithms_computation,AC-008,gemini,FULL_MULTI_TURN,algorithms_computation/code/gemini/AC-008/FULL_MULTI_TURN/final.py,WRONG_OUTPUT,embedded self-tests fail (logic bug)
algorithms_computation,AC-008,gpt,EDGE_CASE,algorithms_computation/code/gpt/AC-008/EDGE_CASE/final.py,WRONG_OUTPUT,embedded self-tests fail (logic bug)
algorithms_computation,AC-009,claude,BUG_FIX,algorithms_computation/code/claude/AC-009/BUG_FIX/final.py,WRONG_OUTPUT,embedded self-tests fail (logic bug)
algorithms_computation,AC-009,deepseek,FULL_MULTI_TURN,algorithms_computation/code/deepseek/AC-009/FULL_MULTI_TURN/final.py,WRONG_OUTPUT,embedded self-tests fail (logic bug)
algorithms_computation,AC-009,gemini,EDGE_CASE,algorithms_computation/code/gemini/AC-009/EDGE_CASE/final.py,WRONG_OUTPUT,embedded self-tests fail (logic bug)
algorithms_computation,AC-009,gpt,EDGE_CASE,algorithms_computation/code/gpt/AC-009/EDGE_CASE/final.py,WRONG_OUTPUT,embedded self-tests fail (logic bug)
algorithms_computation,AC-009,gpt,FULL_MULTI_TURN,algorithms_computation/code/gpt/AC-009/FULL_MULTI_TURN/final.py,WRONG_OUTPUT,embedded self-tests fail (logic bug)
algorithms_computation,AC-010,claude,EDGE_CASE,algorithms_computation/code/claude/AC-010/EDGE_CASE/final.py,WRONG_OUTPUT,embedded self-tests fail (logic bug)
algorithms_computation,AC-010,claude,FULL_MULTI_TURN,algorithms_computation/code/claude/AC-010/FULL_MULTI_TURN/final.py,RUNTIME_BUG,ValueError: Need at least one matrix (len(p) >= 2).
algorithms_computation,AC-010,gemini,FULL_MULTI_TURN,algorithms_computation/code/gemini/AC-010/FULL_MULTI_TURN/final.py,WRONG_OUTPUT,embedded self-tests fail (logic bug)
algorithms_computation,AC-010,gpt,EDGE_CASE,algorithms_computation/code/gpt/AC-010/EDGE_CASE/final.py,WRONG_OUTPUT,embedded self-tests fail (logic bug)
