category,task_id,model,condition,energy_j,runtime_s,mem_mb
algorithms_computation,AC-001,deepseek,BUG_FIX,0.6844,0.0642,10.80078125
algorithms_computation,AC-001,deepseek,EDGE_CASE,0.6711,0.0641,11.05078125
algorithms_computation,AC-001,deepseek,FEATURE_ADDITION,0.6429,0.0641,10.80078125
algorithms_computation,AC-001,deepseek,FULL_MULTI_TURN,0.5854,0.064,10.984375
algorithms_computation,AC-001,deepseek,ONE_SHOT,0.5392,0.064,10.55078125
algorithms_computation,AC-001,gemini,BUG_FIX,0.3551,0.0319,9.5625
algorithms_computation,AC-001,gemini,EDGE_CASE,0.4087,0.064,10.55078125
algorithms_computation,AC-001,gemini,FEATURE_ADDITION,0.5682,0.064,10.6796875
algorithms_computation,AC-001,gemini,FULL_MULTI_TURN,0.5615,0.0641,10.8046875
algorithms_computation,AC-001,gemini,ONE_SHOT,0.3009,0.0321,9.5625
algorithms_computation,AC-001,gpt,BUG_FIX,0.4661,0.064,10.4375
algorithms_computation,AC-001,gpt,ONE_SHOT,0.5568,0.064,10.76171875
algorithms_computation,AC-002,claude,BUG_FIX,0.6547,0.0642,10.6484375
algorithms_computation,AC-002,claude,EDGE_CASE,0.6739,0.0641,10.23828125
algorithms_computation,AC-002,claude,FEATURE_ADDITION,0.7523,0.0641,10.6484375
algorithms_computation,AC-002,claude,ONE_SHOT,0.6629,0.0641,10.63671875
algorithms_computation,AC-002,deepseek,BUG_FIX,0.5824,0.0641,10.88671875
algorithms_computation,AC-002,deepseek,EDGE_CASE,0.6353,0.064,11.2578125
algorithms_computation,AC-002,deepseek,FEATURE_ADDITION,0.5317,0.064,10.45703125
algorithms_computation,AC-002,deepseek,FULL_MULTI_TURN,0.6736,0.064,10.9375
algorithms_computation,AC-002,deepseek,ONE_SHOT,0.6584,0.0641,10.63671875
algorithms_computation,AC-002,gemini,BUG_FIX,0.5085,0.064,10.3984375
algorithms_computation,AC-002,gemini,EDGE_CASE,0.5657,0.064,10.5703125
algorithms_computation,AC-002,gemini,FEATURE_ADDITION,0.6349,0.0641,10.63671875
algorithms_computation,AC-002,gemini,FULL_MULTI_TURN,0.5667,0.0641,10.51171875
algorithms_computation,AC-002,gemini,ONE_SHOT,0.549,0.0641,10.5234375
algorithms_computation,AC-002,gpt,BUG_FIX,0.3226,0.032,9.59765625
algorithms_computation,AC-002,gpt,EDGE_CASE,0.3018,0.032,9.63671875
algorithms_computation,AC-002,gpt,FEATURE_ADDITION,0.3006,0.032,9.78515625
algorithms_computation,AC-002,gpt,FULL_MULTI_TURN,0.3037,0.032,9.8203125
algorithms_computation,AC-002,gpt,ONE_SHOT,0.2862,0.032,9.66015625
algorithms_computation,AC-003,claude,BUG_FIX,0.6775,0.0641,10.63671875
algorithms_computation,AC-003,claude,EDGE_CASE,1.2731,0.1142,15.11328125
algorithms_computation,AC-003,claude,FEATURE_ADDITION,0.5768,0.0641,10.6328125
algorithms_computation,AC-003,claude,FULL_MULTI_TURN,1.231,0.1143,15.60546875
